,Name,G,GS,MP,eFG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
2830,Gerald Wilkins,1.717521772964247,2.152457280574378,1.3914693183581217,0.12917188873833846,0.31767798867228336,-0.08640496921710732,-0.00305640618434999,1.0424817249829958,1.1167720111366333,-0.3356895047430456,1.2539536765343362,1.329677255926168
2831,Jeff Wilkins,0.3911179482989041,-0.18138188171908592,0.6009096511580209,0.025726866261324446,0.599910800714515,1.5778980000295042,1.3088665617702533,-0.32381871795794215,-0.39130122684748053,0.41456644749078536,0.522324893278212,0.2800336743766358
2832,Dale Wilkinson,-0.9233898779389468,-0.6084068009068393,-1.4545454835622411,-1.9397285608019397,-1.093486071538875,-1.1515588695349384,-1.2212705907136243,-0.8703388951343174,-1.3966833855035565,-0.8358601395655997,-1.0872584298852614,-1.098909854325691
2833,Mike Wilks,-0.26613596482002133,-0.5618991364408463,-0.7995103307393006,-0.21877955050252632,-0.9523696655177591,-0.8852703944554806,-0.8932898487249735,-0.18718867366384837,-0.39130122684748053,-0.8358601395655997,-0.7946069165828117,-0.8313536472640455
2834,Aaron Williams,1.1673318456927482,-0.27862518014798027,0.01363675552366036,0.3454660266448223,0.7410272067356306,0.3130277434020794,0.46548751094229396,-0.5287637843990829,-0.39130122684748053,1.1648223997246165,-0.20930388997791222,-0.152172506261407
2835,Alan Williams,-0.7598198995609337,-0.6084068009068393,-0.41552420667068013,0.46771923502674795,1.164376424798978,1.1784652874103172,1.2151577783449243,-0.5970788065461298,0.11138985248055733,0.6646517649020623,-0.35562964662913704,-0.06984751947320832
2836,Alvin Williams,0.40896194594014196,0.8037350110605828,1.2107699658552413,-0.07771815621568956,-0.5290204474544117,-0.08640496921710732,-0.19047397303500754,1.7939469686005118,1.6194630904646712,-0.3356895047430456,0.522324893278212,0.5064273880441819
2837,Brandon Williams,-0.905545880297709,-0.5999508619130224,-0.8559788783964506,-1.2344215893677537,-0.6701368534755275,-0.951842513225345,-0.8932898487249735,-0.8703388951343174,-0.39130122684748053,-0.3356895047430456,-0.501955403280362,-0.8725161406581448
2838,Buck Williams,2.927939612961544,4.211478425568793,1.786749151958172,0.8720952319823471,3.704471733179063,2.975912494196657,3.3236054054148223,-0.11887365151680139,0.6140809318085955,1.1648223997246165,1.5466051898367863,1.2885147625320688
2839,C.J. Williams,-0.8014558940571552,-0.5365313194593957,-0.09930033979063975,0.46771923502674795,-0.9523696655177591,-0.6855540381458872,-0.7995810652996447,-0.32381871795794215,0.3627353921445763,-0.3356895047430456,-0.7946069165828117,-0.3785662199289531
2840,Corey Williams,-0.8430918885533767,-0.6084068009068393,-1.0479719404307608,-0.7924292206023302,-0.5290204474544117,-1.084986750765074,-0.9401442404376379,-0.5287637843990829,-0.8939923061755186,-0.5857748221543226,-1.0872584298852614,-0.851934893961095
2841,Deron Williams,1.5539517945862338,2.651357681209575,1.9787422139924826,0.3924864914071014,-0.6701368534755275,0.44617198094180843,0.09065237724097888,4.526547854482388,1.1167720111366333,-0.3356895047430456,2.57088548639536,2.0088583969288067
2842,Derrick Williams,0.31379395852020703,-0.13487421725309298,0.45409142724943063,0.17619235350061754,-0.10567122939106417,0.7124604560212662,0.5123419026549584,-0.5287637843990829,-0.1399556871834616,-0.08560418733176867,-0.20930388997791222,0.48584614134713233
2843,Elliot Williams,-0.634911916072269,-0.5999508619130224,-0.3590556590135301,0.22321281826289666,-0.8112532594966435,-0.6189819193760228,-0.6590178901616515,-0.392133740104989,-0.39130122684748053,-0.5857748221543226,-0.501955403280362,-0.33740372653485373
2844,Eric Williams,0.9978138681009892,0.6938078041409631,0.815490132255191,-0.15295089983533558,0.31767798867228336,0.1133113870924862,0.18436116066630756,-0.050558629369754575,0.6140809318085955,-0.3356895047430456,0.2296733799757623,0.4241024012559832
2845,Frank Williams,-0.7033139070303474,-0.595722892416114,-0.6301046877678504,-0.54792280383848,-0.9523696655177591,-0.8852703944554806,-0.9401442404376379,0.2910164813654799,-0.39130122684748053,-0.5857748221543226,-0.06297813332668738,-0.7490286604758469
2846,Freeman Williams,0.0015239997985456095,-0.5534431974470294,0.4315040081865707,0.2420210041678088,-0.10567122939106417,-0.8186982756856162,-0.6121634984489871,0.08607141492433935,0.6140809318085955,-0.5857748221543226,1.1076279198831116,1.6795584497760119
2847,Gus Williams,1.4944718024487744,1.0193614554029138,1.6286372185181521,0.08215142397605989,0.17656158265116742,-0.21954920675683617,-0.09676518960967866,2.8186723008062153,3.630227407776823,0.16448113007950843,2.1319082164416856,2.173508370505204
2848,Guy Williams,-0.8817538834427252,-0.6084068009068393,-1.262552421527931,0.06334323807114772,-0.38790404143329593,-0.8852703944554806,-0.7527266735869803,-0.8020238729872704,-0.8939923061755186,-0.3356895047430456,-1.0872584298852614,-0.8107724005669958
2849,Herb Williams,2.318269693552586,1.9579706837165893,1.0300706133523614,0.11036370283342682,0.8821436127567466,1.5778980000295042,1.402575345195582,0.15438643707138616,-0.1399556871834616,2.9154196216035557,1.1076279198831116,0.8768898285910758
2850,Hot Rod Williams,1.6788597780748984,1.5816813984917375,1.4705252850781316,0.22321281826289666,2.0110748609256732,1.5778980000295042,1.8242648706095614,0.22270145921843312,0.6140809318085955,3.165504939014833,0.522324893278212,0.918052321985175
2851,Jason Williams,1.3844338169944748,2.2116488535310963,1.4366441564838415,0.21380872531044082,-0.9523696655177591,0.046739268322621694,-0.2841827564603364,3.0236173672473563,1.6194630904646712,-0.5857748221543226,1.5466051898367863,0.8151460884999266
2852,Jawad Williams,-0.6914179086028555,-0.5788110144284802,-0.43811162573354007,-0.1999713645976147,-0.8112532594966435,-0.5524098006061584,-0.6590178901616515,-0.5970788065461298,-0.8939923061755186,-0.5857748221543226,-0.9409326732340365,-0.5637974402024001
