Name,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
O.J. Mayo,Career,NBA,547.0,325.0,30.9,5.1,12.0,0.429,1.6,4.2,0.373,3.6,7.8,0.45899999999999996,0.494,2.0,2.5,0.82,0.5,2.6,3.1,2.9,1.0,0.3,2.1,2.3,13.8
Travis Mays,Career,NBA,115.0,64.0,25.8,3.7,9.1,0.41,0.9,2.5,0.36200000000000004,2.8,6.6,0.428,0.45899999999999996,2.7,3.6,0.7490000000000001,0.7,1.4,2.0,2.8,0.9,0.1,1.9,2.0,11.1
Luc Mbah a Moute,Career,NBA,686.0,453.0,23.3,2.5,5.4,0.45399999999999996,0.3,0.9,0.335,2.2,4.5,0.478,0.48200000000000004,1.2,1.8,0.66,1.4,2.7,4.1,0.9,0.9,0.4,0.9,1.8,6.4
Bob McAdoo,Career,NBA,852.0,1.0,33.2,8.7,17.3,0.503,0.0,0.1,0.081,8.7,17.3,0.504,0.503,4.6,6.1,0.754,2.4,7.1,9.4,2.3,1.0,1.5,2.6,3.2,22.1
James Michael McAdoo,Career,NBA,111.0,3.0,7.9,1.2,2.3,0.528,0.0,0.2,0.294,1.2,2.1,0.545,0.5379999999999999,0.6,1.1,0.534,0.7,1.0,1.7,0.3,0.3,0.4,0.4,1.0,3.0
Tahjere McCall,Career,NBA,1.0,0.0,8.0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
Ray McCallum,Career,NBA,154.0,46.0,18.2,2.4,5.9,0.408,0.5,1.4,0.335,2.0,4.6,0.43,0.447,0.7,0.9,0.711,0.5,1.5,2.0,2.4,0.5,0.2,1.0,1.2,6.0
Bob McCann,Career,NBA,178.0,7.0,13.4,1.7,3.5,0.479,0.0,0.0,0.2,1.7,3.4,0.48100000000000004,0.48,0.8,1.4,0.5770000000000001,0.9,1.8,2.6,0.6,0.4,0.4,0.8,2.0,4.2
Mel McCants,Career,NBA,13.0,0.0,5.0,0.6,2.0,0.308,0.0,0.0,0.0,0.6,2.0,0.308,0.308,0.5,0.6,0.75,0.1,0.4,0.5,0.2,0.2,0.1,0.1,0.8,1.7
Rashad McCants,Career,NBA,249.0,39.0,20.2,3.7,8.6,0.431,1.2,3.2,0.368,2.5,5.4,0.467,0.499,1.4,1.8,0.741,0.5,1.6,2.0,1.3,0.7,0.2,1.5,2.3,10.0
Kelly McCarty,Career,NBA,2.0,0.0,2.0,1.0,1.5,0.667,0.0,0.0,0.0,1.0,1.5,0.667,0.667,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,1.0,0.0,2.0
Walter McCarty,Career,NBA,593.0,108.0,17.5,1.8,4.7,0.392,0.8,2.2,0.34600000000000003,1.1,2.5,0.433,0.474,0.7,1.0,0.698,0.7,1.9,2.6,1.1,0.6,0.3,0.9,2.0,5.2
Amal McCaskill,Career,NBA,114.0,4.0,8.5,0.7,1.9,0.377,0.0,0.0,0.0,0.7,1.9,0.382,0.377,0.4,0.6,0.609,0.7,1.2,1.9,0.3,0.2,0.3,0.5,1.2,1.8
Patrick McCaw,Career,NBA,157.0,31.0,15.5,1.4,3.4,0.42,0.4,1.5,0.299,1.0,1.9,0.513,0.485,0.4,0.5,0.7909999999999999,0.3,1.2,1.5,1.2,0.6,0.2,0.6,1.1,3.7
Dwayne McClain,Career,NBA,45.0,4.0,10.2,1.5,4.0,0.38299999999999995,0.0,0.2,0.111,1.5,3.8,0.39799999999999996,0.386,0.4,0.8,0.514,0.3,0.4,0.7,1.5,0.8,0.1,0.9,1.4,3.5
Dan McClintock,Career,NBA,6.0,1.0,9.7,1.5,3.0,0.5,0.0,0.0,0.0,1.5,3.0,0.5,0.5,0.0,0.8,0.0,1.7,1.2,2.8,0.2,0.0,0.3,0.5,1.8,3.0
George McCloud,Career,NBA,766.0,194.0,22.8,3.2,8.0,0.402,1.2,3.4,0.358,2.0,4.7,0.434,0.47700000000000004,1.4,1.7,0.81,0.9,2.2,3.1,2.3,0.8,0.2,1.4,2.1,9.0
CJ McCollum,Career,NBA,411.0,314.0,30.0,6.8,15.0,0.455,2.0,5.0,0.401,4.8,10.0,0.48200000000000004,0.522,2.2,2.6,0.8390000000000001,0.6,2.5,3.1,2.9,0.9,0.3,1.7,2.1,17.8
T.J. McConnell,Career,NBA,314.0,72.0,22.0,2.8,5.8,0.48700000000000004,0.3,0.8,0.335,2.6,5.0,0.511,0.51,0.5,0.7,0.768,0.5,2.4,2.9,4.7,1.3,0.2,1.6,1.5,6.4
Tim McCormick,Career,NBA,483.0,210.0,21.5,3.2,6.0,0.535,0.0,0.0,0.063,3.2,6.0,0.537,0.535,1.9,2.8,0.703,1.6,3.3,4.9,1.0,0.3,0.4,1.3,2.6,8.3
Jelani McCoy,Career,NBA,260.0,72.0,14.7,2.0,3.6,0.539,0.0,0.0,0.0,2.0,3.6,0.539,0.539,0.7,1.4,0.49,1.1,2.4,3.5,0.5,0.3,0.7,0.9,2.0,4.6
Chris McCray,Career,NBA,5.0,0.0,2.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0
Rodney McCray,Career,NBA,768.0,629.0,32.4,4.6,9.1,0.503,0.1,0.3,0.26,4.5,8.8,0.51,0.507,2.5,3.3,0.7609999999999999,2.1,4.5,6.6,3.6,0.8,0.6,1.8,2.3,11.7
